id,customerAccountId,farmAccountId,farmAccountConsent,createdAt,createdById,updatedAt,updatedById,deletedAt,deletedById,invoiceTo
ef72761e-8719-4525-82f5-60dbfc53738d,f9f015c1-3c89-4f1b-854d-e934cbdf3791,74a00592-9391-463d-8ff6-b24817821110,1,1688379640249,a0463e4c-2adb-4488-aac3-66bcf22ff32d,1688379708920,a0463e4c-2adb-4488-aac3-66bcf22ff32d,1688379708919,a0463e4c-2adb-4488-aac3-66bcf22ff32d,Farm
cbf9946c-0292-40cd-a23e-12276f79e769,74a00592-9391-463d-8ff6-b24817821110,da74e276-3ad4-4415-84c5-35e4ec1ad3d0,1,1688380872986,a0463e4c-2adb-4488-aac3-66bcf22ff32d,1688380872986,a0463e4c-2adb-4488-aac3-66bcf22ff32d,,,Farm
6393e90a-e394-4744-b45d-683da71a28fd,74a00592-9391-463d-8ff6-b24817821110,0d22d9a4-2f7a-4d49-b5b4-0fc754dd2c3d,1,1688380940832,a0463e4c-2adb-4488-aac3-66bcf22ff32d,1688380940832,a0463e4c-2adb-4488-aac3-66bcf22ff32d,,,Farm
c5b87597-f59c-4f38-aac3-2140d03481b3,74a00592-9391-463d-8ff6-b24817821110,a502cc07-e099-4ebb-9f33-43a324e9b3f5,1,1688381191196,a0463e4c-2adb-4488-aac3-66bcf22ff32d,1688381191196,a0463e4c-2adb-4488-aac3-66bcf22ff32d,,,Farm
0d5c79f0-60af-40b6-8810-259ba9284064,cc952474-a303-4ad6-8384-c51974e0def0,a26323a5-4f8e-49e8-873e-768099d58346,1,1695218177642,563748b6-6df2-4990-aa54-d574de5546a2,1706274704495,563748b6-6df2-4990-aa54-d574de5546a2,,,Farm
1f29fb95-680b-4945-b597-cafcd6e4967e,5f1f494a-e212-45ed-b0f9-89def843445b,7d7a0729-b7c1-411f-a9fd-2deab9fb13bd,1,1688389421238,a0463e4c-2adb-4488-aac3-66bcf22ff32d,1688389421238,a0463e4c-2adb-4488-aac3-66bcf22ff32d,,,Farm
ea948b49-4a35-47e2-a7ed-55c6090c85da,5f1f494a-e212-45ed-b0f9-89def843445b,cd0424fc-0199-4e73-8546-add986bfb772,1,1688389436777,a0463e4c-2adb-4488-aac3-66bcf22ff32d,1688389436778,a0463e4c-2adb-4488-aac3-66bcf22ff32d,,,Farm
d8e88192-da25-4dac-83f0-20b583ce8227,5f1f494a-e212-45ed-b0f9-89def843445b,9ff10d20-88eb-45d7-89de-eb2c12c01e3b,1,1688389444657,a0463e4c-2adb-4488-aac3-66bcf22ff32d,1688389444657,a0463e4c-2adb-4488-aac3-66bcf22ff32d,,,Farm
79e5f598-43fe-4ca2-8d40-6afbdcf5b20f,5f1f494a-e212-45ed-b0f9-89def843445b,9d79ba8a-d4c7-4fe5-812a-977de211b4df,1,1688389451185,a0463e4c-2adb-4488-aac3-66bcf22ff32d,1688389451185,a0463e4c-2adb-4488-aac3-66bcf22ff32d,,,Farm
fdfb9f37-760e-4042-9e17-648bdd37dd67,500fc5ab-97f5-49f5-a9f2-aaec1beeb77c,a9476a90-8cb5-4b5d-927b-f51afd293571,1,1688389583604,a0463e4c-2adb-4488-aac3-66bcf22ff32d,1688389583604,a0463e4c-2adb-4488-aac3-66bcf22ff32d,,,Farm
8107b1ca-7be6-487a-bfb8-25a75c618573,500fc5ab-97f5-49f5-a9f2-aaec1beeb77c,cff48c09-6a5d-4f3a-b8c7-0ec066cbc2d7,1,1688389590611,a0463e4c-2adb-4488-aac3-66bcf22ff32d,1688389590611,a0463e4c-2adb-4488-aac3-66bcf22ff32d,,,Farm
5a6a561d-4f2d-45be-9435-7b09027df4cf,500fc5ab-97f5-49f5-a9f2-aaec1beeb77c,20dd23cd-03cb-4915-ad58-882d07ef764f,1,1688389598002,a0463e4c-2adb-4488-aac3-66bcf22ff32d,1688389598002,a0463e4c-2adb-4488-aac3-66bcf22ff32d,,,Farm
2093f442-303b-4e90-a57d-8df773a9d0b9,0d6b570d-7947-478a-8e0d-adc36a0497c0,0d6b570d-7947-478a-8e0d-adc36a0497c0,1,1688390862924,a0463e4c-2adb-4488-aac3-66bcf22ff32d,1688390862924,a0463e4c-2adb-4488-aac3-66bcf22ff32d,,,Farm
e22eb259-ba31-4747-9901-8b3b9436f945,a72a45fd-83cd-4b7c-b829-39fdd9d73f3a,a72a45fd-83cd-4b7c-b829-39fdd9d73f3a,1,1688394692099,a0463e4c-2adb-4488-aac3-66bcf22ff32d,1713969413243,a0463e4c-2adb-4488-aac3-66bcf22ff32d,1713969413242,a0463e4c-2adb-4488-aac3-66bcf22ff32d,Farm
